"Gene.name","baseMean","log2FoldChange","pvalue","padj","Control_1","Control_2","Activated_1","Activated_2"
"Appl1",1071.91954459116,0.484595063442942,0.00359082587804418,0.0177379921280677,841.874,944.383,1353.104,1148.317
"Ndufc1",115.956172346982,0.484411201813213,0.137784550256566,0.298882665784817,91.633,101.528,140.756,129.909
"Prkrir",334.605270869367,0.484316015604325,0.0252305821570974,0.0854134051586986,296.66,261.697,389.39,390.674
"Itgb1",2395.24616605909,0.483953220848463,0.000325624421786782,0.00226848190431911,2003.317,1991.169,2811.004,2775.495
"Nt5e",9.70337315215017,0.483502554399897,0.6698529871624,NA,13.745,2.626,8.219,14.224
"Minos1",457.153941353389,0.483416933552579,0.0269974104505992,0.0900717423502745,356.222,406.111,448.98,617.303
"Nop10",247.146203345924,0.483274982542597,0.051586536904471,0.148650283865026,200.446,211.808,255.826,320.505
"Sec63",669.0624138601,0.483069158829468,0.00585030814299615,0.0267523799548659,577.285,539.147,811.657,748.16
"Dhx15",2083.14595451021,0.482448996186853,0.000659039652143927,0.00422198495072452,1734.146,1741.726,2557.233,2299.479
"Slc26a10",340.684347442278,0.482448046873815,0.0632238908081999,0.171956919187856,339.04,230.188,465.418,328.091
"2010317E24Rik",11.7601632669041,0.482284779715816,0.628328875191762,NA,4.582,14.879,13.356,14.224
"Micu1",206.684771516481,0.482214202766968,0.0594752110671919,0.164896684271676,170.666,174.173,248.634,233.267
"Aftph",2309.42399846663,0.482078046401888,0.000495663530529228,0.00330432186229115,2009.044,1845.879,2726.756,2656.017
"Cldn5",5.89586380573607,0.481733420115707,0.715765920372547,NA,4.582,5.251,6.164,7.586
"Wbp11",574.397934474442,0.481722462140216,0.00957707418373629,0.0398572587907857,505.125,454.249,630.832,707.386
"Il23a",2.94793190286804,0.481667258016205,0.793387294827246,NA,2.291,2.626,3.082,3.793
"Fam83d",18.0759189264788,0.481496367117206,0.536374943897575,0.715749242283737,12.599,17.505,18.493,23.706
"Atp5g1",418.14450961762,0.481442559304032,0.0256238779935999,0.0865554943263697,306.969,390.357,448.98,526.272
"Atp5a1",2695.69317838579,0.481288640529542,0.000403375813088234,0.00273938669543497,2336.63,2164.467,3070.939,3210.736
"Gnas",3526.15529657766,0.481247992949771,0.00171304180099723,0.00953616743586997,3038.765,2848.904,3599.03,4617.923
"C1qc",187.318759985045,0.481144576663172,0.118725153381085,0.268488220036914,198.155,115.532,201.373,234.215
"Nacc1",967.251160981254,0.480521188824099,0.00709198748008435,0.0312053210283322,773.15,841.98,983.235,1270.64
"Oas1a",301.700956527385,0.48040295328182,0.0303699258277979,0.0986809989874088,250.844,252.944,361.65,341.366
"Puf60",388.793387932021,0.480060217499909,0.0259479564523061,0.0874865273102496,351.64,298.457,411.993,493.084
"Vti1b",344.853593707456,0.480017765925394,0.02331998009485,0.0800714245221902,294.37,281.827,394.527,408.691
"Aurka",94.6118742622047,0.479587238317797,0.187434607413642,0.368408279207621,67.579,90.15,107.878,112.84
"Trex1",404.185443318149,0.479294866120715,0.0170404064740454,0.062767331973252,348.204,327.339,474.665,466.533
"Rad18",151.027556964225,0.47909788999068,0.113671631833056,0.260504503416014,106.523,145.29,178.77,173.528
"Ctdp1",294.567161630676,0.478978412690893,0.0441296947658306,0.131696138677202,279.479,213.558,327.745,357.486
"Tyms-ps",4.53280628451837,0.47891588451932,0.760101371300936,NA,2.291,5.251,2.055,8.534
"Tfeb",666.501103295951,0.478722654217001,0.00635246343646311,0.0287213006707867,547.505,566.28,737.683,814.537
"Fgf1",11.8034982201715,0.478691097597727,0.626150452230937,NA,13.745,6.127,10.274,17.068
"Eid2",7.23912759108502,0.478430187593626,0.6903352689998,NA,6.872,5.251,9.247,7.586
"Pfdn1",37.1823392256995,0.478324370719397,0.388859124023834,0.593579350644238,25.199,36.76,43.151,43.619
"Exosc3",209.37118299219,0.478154342019065,0.0876810101115179,0.217406359015352,158.066,191.677,201.373,286.368
"Setd5",2100.10048805283,0.478010592943991,0.00054684804685536,0.0035815196235569,1801.725,1709.342,2476.067,2413.268
"Rell1",295.023961407841,0.477957882188766,0.0433507631772973,0.129764801740719,279.479,214.434,352.403,333.78
"Melk",111.215264962169,0.47684758841831,0.209405955080821,0.397171500578712,61.852,123.409,132.536,127.064
"Opa3",285.487775473221,0.476643271279958,0.0350789776627098,0.109893165130172,243.972,233.689,326.718,337.573
"Mrpl15",198.189325316018,0.476508973378676,0.0838866658402133,0.210357465520146,191.283,140.914,217.812,242.749
"Tmem50b",1271.10440619914,0.476429373854114,0.00169753856197915,0.00947420671917576,1027.43,1098.425,1428.105,1530.457
"Fdps",82.9072817064675,0.476422024416672,0.212462244021139,0.400278867735826,76.742,62.142,101.714,91.031
"Sec61a1",897.628850485678,0.476394488084314,0.00301515518421208,0.0154087540163795,739.933,761.458,1023.304,1065.82
"Plekhg4",4.29119568821698,0.476230550689979,0.759101808215381,NA,4.582,2.626,6.164,3.793
"Prex2",15.0448639489779,0.476109467876815,0.593415835899674,NA,18.327,7.002,21.576,13.275
"Jmjd6",143.327491585054,0.476107054357584,0.141006804188489,0.30374362890712,119.122,120.783,130.482,202.923
"Sestd1",172.710495194873,0.476079677041178,0.106962525872072,0.250318652575536,136.303,152.292,236.305,165.942
"Cyc1",340.831101851472,0.476060783244065,0.042192213804892,0.127069294453265,239.39,329.965,372.951,421.018
"9130019O22Rik",18.571375876981,0.47579846621422,0.535446572074822,0.71533759729165,12.599,18.38,20.548,22.758
"Spryd3",82.7645129246562,0.475764203087158,0.211337944575344,0.399132488421321,67.579,70.894,87.33,105.254
"Uqcrc1",400.542663830212,0.475724327622165,0.0376497881191652,0.116100243294881,285.206,384.23,414.048,518.687
"Zfp36l1",4933.79603987659,0.47568887530889,0.0027918406522918,0.014436281520896,4747.712,3509.709,5528.513,5949.25
"Ltbr",128.006434862449,0.475569293975416,0.125807453938259,0.280657361720172,106.523,107.654,148.975,148.873
"Gm13710",10.1672657580843,0.475376937760562,0.64036333950356,NA,9.163,7.877,11.302,12.327
"P4ha1",163.502869780726,0.475297300647738,0.13637092072566,0.296886291041214,148.903,125.159,143.838,236.111
"Rpl19",3775.41076927725,0.475017619376367,0.000362416646039516,0.00248957484245154,3107.489,3211.253,4175.409,4607.492
"Zbtb22",111.820795401887,0.474503610495427,0.156280597835574,0.325950657749861,83.615,103.278,130.482,129.909
"Dapk3",95.5036188342375,0.474350670508188,0.180984914414838,0.359810897018891,84.76,75.271,111.988,109.996
"Pld3",118.555777116472,0.474342863978338,0.15348554671413,0.321793813327134,112.25,86.649,127.399,147.925
"Napsa",3041.50279544052,0.474179152026825,0.000296492394598762,0.00208836288081169,2549.676,2542.57,3554.851,3518.914
"Ube2i",798.686806617302,0.474139345408052,0.00460459583118876,0.0219549236968609,667.772,669.558,883.576,973.841
"Fam54a",25.4661767108909,0.473989633510451,0.496325484579208,0.685365707386432,12.599,29.758,33.905,25.602
"Pdia4",377.446774878688,0.4739109254865,0.039955730112671,0.121686934020401,360.803,272.199,389.39,487.395
"Gm11517",10.6707458357559,0.473846862243384,0.651417452937577,NA,4.582,13.129,16.439,8.534
"Hnf1a",5.06785070675811,0.473630514068964,0.743246007245977,NA,2.291,6.127,6.164,5.689
"Fndc3a",1207.06134910403,0.473540538022854,0.00833546010893797,0.0356064823975257,1111.045,911.124,1578.107,1227.969
"Ccdc94",39.6745392845213,0.473478685209441,0.375645514469169,0.58100626188528,33.217,33.259,40.069,52.153
"Esd",447.774500547128,0.473280766933569,0.0161984995929859,0.0604264277172234,353.931,395.608,509.597,531.962
"Camkk2",52.0768764148968,0.473095792782091,0.313297073749709,0.516818516815988,38.944,48.138,59.59,61.636
"Rpl13",4623.14596278626,0.472845466516196,0.000921788406340851,0.00564165751745223,3956.236,3788.91,4849.393,5898.045
"Mrpl47",45.4156630501188,0.472749149759002,0.364645548387818,0.570015581973489,41.235,35.01,39.042,66.377
"Tm9sf4",519.399222166134,0.472641380735604,0.0143930163614792,0.0549012486774312,475.344,395.608,596.927,609.718
"Mrpl50",150.703764361556,0.472610381433546,0.114130415904584,0.261114001160371,111.104,140.914,183.907,166.89
"Syap1",312.477114863956,0.472430813635323,0.0395979032650729,0.120766916123461,235.954,287.078,339.047,387.83
"Sec23ip",403.385063224111,0.472129654230743,0.01889352733018,0.0683384245635525,326.441,349.22,468.501,469.378
"Pim2",57.4730076244911,0.471418151242025,0.31286097466996,0.516413673411501,57.27,39.386,55.48,77.756
"Pus1",66.6226735665609,0.471407294753808,0.256844634232599,0.45486554836764,53.834,57.766,78.083,76.807
"Hnrnpk",3807.60249778507,0.471161134915501,0.000624721594259968,0.00402594231446653,3424.767,2959.184,4348.015,4498.445
"Plxna4",8.56259764056521,0.471124781914847,0.67346124391176,NA,9.163,5.251,11.302,8.534
"Chrng",6.79944200137761,0.47108158816059,0.708061124032838,NA,3.436,7.877,9.247,6.638
"Tmlhe",10.3455470156216,0.471014976755879,0.670295910099743,NA,14.89,2.626,14.384,9.482
"Yif1b",117.858973610099,0.470643423893647,0.174641663495779,0.351441482498286,91.633,105.904,108.906,164.994
"Rheb",518.532282646047,0.470322367560223,0.0135851536303424,0.0525982710472484,435.255,434.119,646.243,558.513
"Serpinb8",11.1024082982939,0.470270467785367,0.636260144148462,NA,12.599,6.127,13.356,12.327
"Cd34",24.4511934283782,0.470117364252297,0.503714771607593,0.69125185214404,26.344,14.879,20.548,36.033
"Rassf3",968.215816023235,0.469897225133255,0.00533835100243592,0.0247773592156762,735.351,887.493,1093.168,1156.851
"Cct4",1013.07408304506,0.469378365626615,0.00264577643705135,0.0138024132583225,868.219,831.477,1181.526,1171.075
"Nup50",676.928327802061,0.469359662470069,0.00686285437014489,0.0304319694604092,581.867,554.026,758.231,813.589
"Arpc4",1578.70926541555,0.469241721313829,0.00252874871180512,0.0132722552301283,1224.44,1423.139,1728.11,1939.148
"Hectd1",2651.55493680687,0.469068230887175,0.000930880582723914,0.00568445848514552,2316.013,2132.958,3265.121,2892.128
"Naa40",242.358082748296,0.468717816207794,0.06398031660955,0.173100802140556,177.538,228.437,297.95,265.507
"Utp20",457.045012525603,0.468350378646036,0.0152530341906645,0.0574734328304238,379.13,387.731,544.529,516.79
"Myo1c",964.660235002546,0.467971900821207,0.00512203565784956,0.0239477825988279,829.275,790.341,1024.331,1214.694
"Mtap1a",6.27616818783721,0.467811648316571,0.732295495441299,NA,8.018,2.626,3.082,11.379
"Clec7a",810.051789427879,0.46769492432253,0.0288278449252209,0.0948351181521161,800.64,560.153,1082.894,796.521
"Myh7b",11.2491252112631,0.467691756610771,0.647775567401177,NA,13.745,5.251,17.466,8.534
"Pfdn4",69.8519411721863,0.467682363683143,0.254904786648969,0.452760051445857,59.561,57.766,72.946,89.134
"Pla2g6",35.1026106774655,0.467611332067841,0.413290483187382,0.61635129465431,30.926,28.008,48.288,33.188
"Tfip11",175.780218950611,0.467531227456319,0.122609361995622,0.274824584833141,182.12,113.781,202.4,204.82
"Dnajc21",280.743132211779,0.467355348845482,0.0453473249897609,0.134294032699311,256.571,215.309,315.416,335.677
"Tead1",6.81121261007695,0.467270859650841,0.709593493994135,NA,8.018,3.501,7.192,8.534
"Rundc3b",347.37001840907,0.467096565892566,0.0320072773484919,0.102402491292443,319.569,264.322,400.691,404.898
"Sept7",922.879461199714,0.467002438541899,0.00530765849467101,0.0246622469200443,840.729,709.819,1080.839,1060.131
"Nmd3",555.123611460749,0.466968400653076,0.0142788066390447,0.0545616621942755,454.727,477.005,702.751,586.012
"Ubc",1281.18751367964,0.466821175613474,0.495356602867723,0.684825290396645,1574.935,576.783,1492.832,1480.201
"Mtpap",444.696570641157,0.466588479913217,0.0201114566944591,0.0717130579159245,355.076,391.232,551.721,480.757
"H2-D1",11174.2937045543,0.466496556712943,0.000435514560425588,0.00293403559271791,10053.238,8714.757,12484.103,13445.077
"Tpx2",441.414026530016,0.466418113010845,0.0492942607682162,0.143280044781885,284.061,456,499.323,526.272
"Ints6",547.642672623734,0.466079231581112,0.0162880113920639,0.0606767632084692,467.326,452.499,702.751,567.995
"Brix1",285.261826623533,0.465792333914814,0.0389822250851644,0.119325923805478,239.39,239.816,331.855,329.987
"Hist1h4a",4.65972946161879,0.465785226445187,0.752994072208681,NA,3.436,4.376,5.137,5.689
"Zc3hav1",1435.82851167461,0.465617853998797,0.00314084057822287,0.0159366398050999,1298.892,1114.179,1759.96,1570.283
"Gm6682",11.4393777271276,0.465559786432992,0.632309207773984,NA,6.872,12.253,13.356,13.275
"Fbxo34",161.438252440232,0.465299067261556,0.10654121755715,0.249656285917501,124.849,146.165,174.66,200.078
"Apobec1",1675.78963793667,0.464871049546106,0.00213877102727969,0.0114756347392377,1505.065,1311.984,2033.252,1852.858
"Acap2",1803.4380207854,0.464769262325796,0.00287908357060985,0.0148166804372525,1593.261,1438.018,2285.995,1896.477
"Zfp142",413.592123960261,0.464548445673966,0.0222005045355304,0.0772560442124641,349.349,345.719,512.679,446.62
"Taf1",953.786574140876,0.464505810506065,0.00938367641751479,0.0392181198421828,909.453,694.94,1137.347,1073.406
"Tmem111",336.173530630855,0.464288875051752,0.0324237431739512,0.103215463830182,293.224,272.199,366.787,412.484
"Dlst",1095.65284898058,0.464159508247469,0.00368341408119813,0.0181374657916452,988.486,854.233,1273.993,1265.899
"Tmem48",75.2220522655987,0.464078201083857,0.264142487248042,0.462565834867758,48.107,77.896,91.44,83.445
"Lrfn4",5.58310139312908,0.463785787860269,0.74278780346529,NA,2.291,7.002,9.247,3.793
"Atp5o",300.144603973895,0.463684392055544,0.0418864595405094,0.126359235923792,242.826,261.697,320.553,375.503
"Fasn",801.712278438168,0.463595483300435,0.00851041931274708,0.0361968482194696,604.775,742.203,915.426,944.446
"D19Bwg1357e",364.128223768982,0.463452780797557,0.0323415539884372,0.103038497927399,339.04,273.95,425.349,418.173
"Ckap2l",182.380587062039,0.463272693564808,0.108724268766048,0.253183577717669,124.849,181.175,204.455,219.043
"Ddx49",95.6912025715555,0.463195959036247,0.204879125371841,0.391093491656944,68.724,91.9,101.714,120.426
"Dgkd",1344.57745847822,0.462976175613846,0.00655338116952229,0.0293965955318571,1285.147,977.642,1594.546,1520.975
"Fdxacb1",91.2960859896624,0.462556558618334,0.248153934039273,0.444412558678699,100.796,53.39,104.796,106.203
"C3ar1",14.9458952696341,0.462500455264445,0.600642999749097,NA,18.327,7.002,16.439,18.017
"Nsmce2",289.146772433276,0.462484022986032,0.0426414454669125,0.128137247917632,239.39,246.817,356.513,313.867
"5330417C22Rik",5.22633822842661,0.46228967785334,0.760996163279868,NA,8.018,0.875,8.219,3.793
"Fdft1",172.184500357742,0.462211096695621,0.0934072455476557,0.227468964279208,148.903,140.914,193.154,205.768
"Snora68",12.3429559227692,0.462049762661824,0.631553331206295,NA,5.727,14.879,16.439,12.327
"Ggn",38.9302520440948,0.461939179650662,0.394093736717284,0.598934793224285,28.635,36.76,40.069,50.257
"Ywhab",1913.91079200246,0.46193381120626,0.00295423870559363,0.0151674255439317,1723.838,1497.534,2034.279,2399.992
"Zxdc",350.400149109836,0.461932985849942,0.029526648765274,0.0965668769222073,287.497,301.958,387.335,424.811
"Nova2",3.34803002083793,0.461613359766867,0.818445172083801,NA,5.727,0,1.027,6.638
"Slc35f5",88.9836364207525,0.46156204916097,0.221524882441782,0.41162420442129,69.87,79.647,119.18,87.238
"Ino80",805.104225491497,0.461521195430142,0.00703936936100607,0.0310294974782648,694.117,660.806,1000.701,864.794
"Shc4",1.73159129461951,0.461493130565382,0.847046251747914,NA,1.145,1.75,3.082,0.948
"Zcchc10",59.3565325459843,0.461407089898873,0.307453601321903,0.510365440257459,40.089,59.516,65.754,72.066
"Abca5",112.979763803913,0.461371281510589,0.170113905573646,0.345184178253076,84.76,105.029,140.756,121.375
"Ms4a6d",33.9137594177735,0.461243392699319,0.424015846661785,0.62520262241556,30.926,26.257,33.905,44.567
"Zfp828",246.879542098135,0.461166200769035,0.0700986902220277,0.184718830254251,186.701,228.437,253.771,318.608
"Tjp1",12.6792595527748,0.460838527377441,0.646580085366745,NA,17.181,4.376,9.247,19.913
"Ythdf2",461.750091963538,0.460510717133287,0.0214404342658121,0.0753370821931698,365.385,411.362,574.324,495.929
"Sgta",218.940959064291,0.460477724777711,0.082695219351603,0.208334258426957,166.084,202.18,223.976,283.523
"Zranb3",87.9693189370678,0.460235523788864,0.221033727792803,0.41092472510373,66.434,81.397,113.016,91.031
"Gimap1",30.3310109797755,0.460083643887633,0.525860019520389,0.707833199734638,40.089,11.378,20.548,49.308
"Cwc15",567.954245770973,0.459870161668608,0.0127531354167154,0.0499655392293953,482.216,474.38,615.421,699.8
"2310001A20Rik",220.33992042566,0.459810376308539,0.0659069945052867,0.176856693454489,193.574,177.674,257.881,252.232
"Upf1",397.09199437681,0.459602437823499,0.0278002553203135,0.0920923591035048,309.26,358.848,485.967,434.293
"Diap3",185.6856842639,0.459557139242614,0.0887876769224053,0.219397104037504,144.321,168.046,219.867,210.509
"Hsd17b7",108.411318178815,0.459535827764539,0.188389254073078,0.36964694609195,74.451,107.654,126.372,125.168
"Mtdh",1586.93404858396,0.459467856937683,0.0020843490668175,0.0112197519595226,1423.741,1249.842,1866.811,1807.343
"Dld",717.116868090237,0.459247697827827,0.00682211520268125,0.0302761056905555,604.775,603.04,852.753,807.899
"Il1r1",16.8795096888175,0.459170615061143,0.57805210187479,NA,17.181,11.378,13.356,25.602
"Lamp1",1718.96362153841,0.459141441720814,0.00651418792799834,0.0292692649622588,1337.835,1557.051,1738.384,2242.585
"Pam16",76.7670116610299,0.458979854337458,0.27438364183921,0.473613446788426,53.834,75.271,69.864,108.099
"Mamdc4",50.6990412220868,0.458975465425639,0.343790290332324,0.54881818673299,34.362,50.764,62.672,54.998
"Wdfy1",92.7479484486176,0.458768559921977,0.206222790959378,0.39296596208671,75.597,80.522,118.153,96.72
"Prpf3",446.713061261966,0.458322650153601,0.0203477366966943,0.0722869104893409,353.931,398.234,531.173,503.515
"BC024479",159.16198198091,0.458308501878651,0.117696983791486,0.26690630634565,130.576,137.413,206.51,162.149
"Daxx",271.108728786317,0.458295568038948,0.0739182825766078,0.191981959998176,226.791,230.188,254.799,372.658
"BC005624",321.628410882918,0.458292911725165,0.053442994998358,0.152515269972922,312.696,230.188,347.266,396.364
"Tmem70",186.783727606136,0.458075055079062,0.0901732868270358,0.221859463138151,145.467,168.921,226.031,206.716
"Fam96b",276.194824628561,0.458041135098983,0.054179748270242,0.154051256486876,208.464,256.445,305.142,334.728
"Edc4",339.366488348873,0.458028522945461,0.0310101636419374,0.100158945358708,287.497,284.453,386.308,399.209
"Ankhd1",2838.9761834132,0.45796401089268,0.00297886088834788,0.0152721249424859,2487.824,2296.628,3668.894,2902.559
"Thumpd1",185.078621576898,0.457919719456519,0.0954030614721533,0.230846853903917,174.102,138.288,212.675,215.25
"Asf1a",252.705586520256,0.457779709053663,0.0526137031930047,0.150828377695082,209.609,216.184,294.868,290.161
"Otud5",811.827871041268,0.457684566136572,0.00645383314906127,0.029070425989098,723.897,645.051,921.59,956.773
"Pcbd1",9.91763203461349,0.457540003042687,0.704908048828615,NA,16.036,0.875,12.329,10.431
"Slc6a6",4155.37594282641,0.457309081123726,0.00105254413028722,0.00628220967680521,3203.704,3799.413,4754.87,4863.516
"Eif3l",990.995211233335,0.45729170592849,0.00975241223478301,0.0404007195944185,755.969,913.75,1039.743,1254.52
"Nek6",220.777264751303,0.456876073042141,0.0690332506420791,0.18267933611261,182.12,189.927,270.21,240.853
"Dnahc10",1.34326378534895,0.456774492814896,0.883371674692095,NA,2.291,0,3.082,0
"Nlrp6",1.34326378534895,0.456774492814896,0.883371674692095,NA,2.291,0,3.082,0
"Rufy4",1.34326378534895,0.456774492814896,0.883371674692095,NA,2.291,0,3.082,0
"Sepw1",437.828843107728,0.45657540161267,0.0641043747186369,0.173350646861456,306.969,430.618,406.856,606.873
"1500032L24Rik",283.212146129078,0.456506004208152,0.0632659959868473,0.171985077672652,211.9,265.197,289.731,366.02
"Abcc1",824.604265907168,0.456419544998942,0.0132821061517598,0.051720005730415,667.772,722.072,1079.812,828.761
"Esf1",409.359798107071,0.456279654941684,0.0225240790235966,0.0780061854420148,335.604,354.472,480.83,466.533
"Cox5b",438.064824921004,0.456259068745093,0.0309446237925729,0.100066599864162,364.239,374.602,439.733,573.684
"Mll5",4045.23865095167,0.456218956722752,0.000545238918798596,0.00357540751049951,3570.234,3252.389,4751.788,4606.544
"Srsf2",3712.55392557435,0.456070355606305,0.000609838253493624,0.00394175286401935,3180.795,3080.842,4090.134,4498.445
"Gab2",771.04972866806,0.455944364325103,0.00888924338670147,0.0375574000031736,699.844,601.289,927.755,855.311
"Atxn1l",588.522434627883,0.455444677665449,0.0111485013767716,0.0449466748844684,510.852,482.257,667.819,693.163
"Ndrg2",3.86328070720891,0.455134162239028,0.787801451014621,NA,5.727,0.875,4.11,4.741
"Enpp2",27.1898825130595,0.454882450036446,0.47518364541567,0.670705463294847,24.054,21.881,27.74,35.085
"Trim25",2266.22615363388,0.454421949767147,0.00303074449158321,0.0154649340920023,2104.113,1721.595,2746.277,2492.92
"1700123O20Rik",118.559731269295,0.454171772953982,0.18823633015443,0.36948073284344,77.888,121.658,131.509,143.184
"Creb3l1",7.69499706984973,0.454069200695955,0.696144399982123,NA,6.872,6.127,9.247,8.534
"Dgcr2",188.471128268897,0.45406236924681,0.0927650423985546,0.226589335806886,166.084,152.292,200.346,235.163
"Sarnp",272.133543547755,0.453982339002763,0.0532872329058868,0.15219984247879,225.645,233.689,289.731,339.469
"9530068E07Rik",781.274140464055,0.453925580926385,0.00840687797715559,0.0358408930053233,648.3,670.433,836.315,970.048
"Smox",45.3301987114211,0.453561555032106,0.367084869394074,0.572341737211572,34.362,42.011,57.535,47.412
"Pparg",54.3164356873549,0.453513583491324,0.337498867084292,0.542551281384149,56.125,35.885,62.672,62.584
"Riok3",1396.89413864917,0.453479113743727,0.00242652040581997,0.0127790449957451,1188.933,1169.32,1693.178,1536.147
"Stk11",395.288470207102,0.453362345795513,0.0292167629964304,0.0958525722411661,360.803,307.209,442.815,470.326
"Ift20",299.841959079515,0.453169985953954,0.053642351711094,0.152863413389891,258.862,247.693,303.087,389.726
"Sec62",651.637064426318,0.452812358339532,0.0101274359044049,0.041651675456499,578.431,522.518,747.957,757.643
"Ccdc137",94.1708630965065,0.45278307707848,0.207069142091595,0.393747589306344,72.161,86.649,107.878,109.996
"Ngdn",227.77493015067,0.452613855101257,0.0682157492389307,0.18133360216842,191.283,193.428,247.607,278.782
"Btbd7",347.725599654165,0.452403097652173,0.0322161661461341,0.102888481091118,301.242,286.203,409.938,393.519
"Rdh12",15.11681919883,0.452257224811329,0.601903061977565,NA,11.454,14.004,23.631,11.379
"Impact",707.692152762502,0.452043406289406,0.0312241038755236,0.100639903982013,705.571,491.009,903.097,731.092
"Snord89",27.0120664047223,0.451872255498692,0.488717585264196,0.679886683082963,18.327,27.132,36.987,25.602
"Mbp",914.727125656771,0.451846571231113,0.00477370420340766,0.0225823308452031,793.767,751.83,1066.455,1046.856
"Pank4",262.463595336973,0.451760590691656,0.0588668921888501,0.163766061397487,216.482,226.687,329.8,276.886
"Usp54",109.078101192803,0.451699996498346,0.193487671068312,0.376378513320708,90.487,93.651,146.92,105.254
"Timm44",223.464405875784,0.451662503162427,0.0682689264114513,0.181352937669262,186.701,190.802,252.744,263.61
"Usp14",411.961474892854,0.451590524279875,0.0242394374890705,0.0827302540387842,333.313,362.349,481.857,470.326
"Bsdc1",670.798062123396,0.451437947526905,0.0144832969999077,0.0552067404644616,627.683,506.763,754.122,794.624
"Mettl2",121.273547538922,0.45099840672169,0.161228567027009,0.333636879962482,100.796,104.153,128.427,151.718
"Banf1",438.613041421209,0.45086601499102,0.024633125004278,0.0837572640211373,342.477,398.234,493.159,520.583
"Orm2",211.629058106778,0.450729686396277,0.159778781059603,0.331206187374412,219.918,138.288,307.197,181.114
"Rps10",2473.50697366844,0.450696428223196,0.00472509835141211,0.0224602854062516,2107.549,2073.442,2471.957,3241.08
"Map2k1",1109.68145655415,0.450437953377493,0.00336072223863281,0.0167927601527257,942.67,933.005,1316.117,1246.934
"5730403B10Rik",266.524158373907,0.450437075426381,0.0525247923922492,0.150688844275751,233.663,217.059,307.197,308.178
"H47",431.336958409952,0.450405284641569,0.0607639274372119,0.167548565335918,376.839,352.721,383.225,612.562
"E2f4",531.529070658777,0.450382074588546,0.0326870674874775,0.103800987908228,428.382,470.003,513.707,714.024
"Ppfibp1",152.538152458524,0.450363306060421,0.127847901693734,0.284039441970512,123.704,133.912,194.181,158.356
"Bdp1",1266.5556036999,0.450301786273304,0.00397354030837503,0.0193549290290588,1135.098,1006.525,1528.792,1395.807
"Gatsl3",42.1123742000134,0.450288780709751,0.388748319931532,0.593560331193557,38.944,32.384,42.124,54.998
"Rg9mtd2",81.7132197545363,0.450139849616327,0.235410509022338,0.42918243760333,69.87,68.269,98.632,90.083
"Hsf5",12.0735284634296,0.450126591131467,0.635774078394574,NA,12.599,7.877,16.439,11.379
"Abcf3",378.285594942951,0.449776024699886,0.0466199863858274,0.137200302232455,363.094,277.451,396.582,476.016
"A230051G13Rik",21.7021399524627,0.449727068888198,0.524875562979718,0.70694728008943,18.327,18.38,22.603,27.499
"Ccnb2",268.788399746622,0.449091068163106,0.0947408615113216,0.229706300974071,179.829,273.95,274.319,347.055
"Anp32b",2621.70925522646,0.448796858509301,0.00214224160085146,0.0114828813765581,2267.906,2167.092,2758.606,3293.233
"Shfm1",305.673558499888,0.448704569751733,0.0439538942927659,0.131243808399541,250.844,266.073,335.964,369.813
"Etfa",587.366031787779,0.448638802427791,0.0123820744501006,0.0488855458752528,506.27,487.508,660.627,695.059
"Rpl10a",5506.5886409675,0.448003984975726,0.00269900372220355,0.0140298979475197,4714.495,4602.883,5558.308,7150.668
"Ust",100.911526674196,0.447949719085851,0.195318117356834,0.378850701043256,81.324,89.274,120.207,112.84
"Gbp2",259.904805146787,0.447932411162208,0.064130343426955,0.173357313118047,195.865,243.316,297.95,302.488
"Hmgcr",780.218757614894,0.447841593463802,0.0080179158197102,0.0344538207357876,689.535,631.047,929.809,870.483
"Setd8",669.579132543041,0.447733208919282,0.0105305140609541,0.0429668771458815,562.395,570.656,733.573,811.692
"Psmg3",38.7129860987386,0.447692193988148,0.408250000802405,0.612258624290682,28.635,36.76,41.097,48.36
"Elk1",221.563762018634,0.44764336401089,0.0717438115214153,0.187956640921764,186.701,188.176,261.99,249.387
"Iqgap2",677.866081927187,0.447351219369083,0.0143227876220107,0.0546874491613244,626.538,521.643,745.902,817.382
"Rfk",321.716239298876,0.447332108676025,0.056819519493076,0.159503978924201,276.043,268.698,315.416,426.707
"Pafah1b1",1681.20670591115,0.447210860421943,0.00222415918315365,0.0118574391885352,1420.305,1424.889,2047.635,1831.997
"Usmg5",166.643608991517,0.447163395937056,0.115028471667101,0.26283556919842,146.612,135.662,175.688,208.613
"Ift140",631.441507987052,0.447055088297756,0.0109524722070969,0.0443710289526854,550.941,518.142,728.436,728.247
"Snord69",6.53001454203805,0.447039342220456,0.748358931772128,NA,10.309,0.875,9.247,5.689
"D6Mm5e",175.374059648441,0.446782699219199,0.145828627453969,0.310793138148504,116.832,179.424,176.715,228.526
"Zfp655",705.562598777719,0.446643037390147,0.42234979806029,0.624190363217888,816.675,378.103,902.069,725.403
"Cdca4",205.398116943568,0.446587859882639,0.0992407472486802,0.237638155381289,146.612,200.43,239.387,235.163
"Prdm4",315.58423534045,0.446542458642403,0.0411304416684795,0.124633867019479,277.189,257.32,363.704,364.124
"Hmgn2",642.958602195145,0.446524298396863,0.0135529887210654,0.0525293476977824,580.721,508.514,707.888,774.711
