"Gene.name","baseMean","log2FoldChange","pvalue","padj","Control_1","Control_2","Activated_1","Activated_2"
"2610002D18Rik",10.0949034253569,-0.793237859550783,0.450527019858145,NA,8.018,17.505,8.219,6.638
"Tm6sf1",298.04370923396,-0.793837195869956,0.000535972661991758,0.00352921306557428,347.058,408.737,211.647,224.733
"Gm16515",136.48453042525,-0.793961937815629,0.0146408997953845,0.0556118048679524,158.066,188.176,81.166,118.53
"Kif3a",46.707576522087,-0.794153408472245,0.109370097884075,0.254250272613344,60.707,57.766,38.014,30.344
"Gm15706",17.9431487278212,-0.794209707166837,0.357059361220964,0.562621681470066,29.781,15.754,20.548,5.689
"Limk1",130.33090073097,-0.794699257163112,0.013566020810564,0.0525610527327755,143.176,187.301,89.385,101.462
"Ccdc138",37.8835225046921,-0.794738364806322,0.165710841616667,0.339668031643019,35.508,60.392,32.877,22.758
"Obfc1",61.8890170902726,-0.795265605244819,0.0775554863117849,0.198760014955185,87.051,70.019,54.453,36.033
"Gm14207",3.96795964608681,-0.795269373460268,0.631075340806297,NA,5.727,4.376,1.027,4.741
"B230319C09Rik",22.2688126068755,-0.795540235409155,0.260177514447743,0.458591443867947,24.054,32.384,17.466,15.172
"Figf",2.68614306297202,-0.79561467908195,0.716920822569347,NA,6.872,0,1.027,2.845
"Cubn",3.43638743594007,-0.795975561964129,0.652542938551236,NA,3.436,5.251,4.11,0.948
"Ccdc28a",23.6019872704271,-0.796552231327527,0.243135788924619,0.438251248156472,27.49,32.384,17.466,17.068
"Tyw1",75.2428301275788,-0.796707768823244,0.0552289205226533,0.156212766585353,81.324,109.405,64.727,45.515
"Hspa12a",4.07508908731848,-0.797460038855153,0.617765907947725,NA,6.872,3.501,3.082,2.845
"Agmo",27.8355638794141,-0.797544609933947,0.210591680529408,0.398230309100976,40.089,30.633,22.603,18.017
"Fam131b",4.66243265826004,-0.797889144366183,0.595705092573058,NA,5.727,6.127,2.055,4.741
"Bag4",86.3208995962076,-0.797904554135856,0.0319148128407893,0.102197211795528,105.377,113.781,61.645,64.48
"Pcx",8.15017817463695,-0.797912995412114,0.489431752815979,NA,13.745,7.002,6.164,5.689
"S100a3",4.13086044811329,-0.798162168752981,0.628137984267212,NA,3.436,7.002,5.137,0.948
"Bbs5",9.91220888746164,-0.798183411498443,0.46478944919917,NA,10.309,14.879,3.082,11.379
"Muc5b",13.0312829957183,-0.798285032399594,0.403833114358705,NA,13.745,19.255,14.384,4.741
"Ick",38.2126064410748,-0.798467815389852,0.151670474050833,0.319193044946428,40.089,56.891,23.631,32.24
"Tinf2",298.157794704277,-0.799024248880489,0.0003752384556842,0.00256626148385539,395.165,362.349,219.867,215.25
"1700030K09Rik",29.1020000070181,-0.799423004936214,0.201605295541719,0.386957860843982,30.926,42.887,23.631,18.965
"D4Wsu53e",1392.48337345489,-0.799564418291271,2.12958836716692e-05,0.000200956714124732,1470.703,2065.564,1115.771,917.895
"Ccdc51",14.8446717889798,-0.799620313145122,0.352714737086208,NA,14.89,22.756,11.302,10.431
"Crocc",21.3051127849906,-0.799878111024591,0.31126035072645,0.514555681278747,13.745,40.261,11.302,19.913
"Kcnj8",4.7695620994917,-0.800195218542902,0.5877219619742,NA,6.872,5.251,4.11,2.845
"Lefty1",5.26515668471239,-0.800650640561187,0.645310113406131,NA,12.599,0.875,0,7.586
"Pvt1",69.5921523468608,-0.800769846726637,0.0666453211510364,0.178219887442404,84.76,91.9,64.727,36.981
"9530082P21Rik",31.9312501361478,-0.800792162570588,0.183702343705223,0.363478993490171,35.508,45.512,27.74,18.965
"Prkra",74.7622884833872,-0.801324595606831,0.0456608381213959,0.134927402992112,89.342,100.653,49.316,59.739
"Ankrd35",37.6260663036798,-0.801468685974559,0.17518273897076,0.352022743696947,29.781,65.643,25.685,29.395
"Col10a1",65.0687517587469,-0.80165523418276,0.0628196784517209,0.171201402935218,73.306,91.9,52.398,42.671
"Dpep2",35.9113186752804,-0.801791507644048,0.195500998561158,0.379137543396531,34.362,56.891,15.411,36.981
"Mbip",228.621678217783,-0.802102652047499,0.00185274232600613,0.0101727103992014,324.15,257.32,174.66,158.356
"Zfp677",117.831116160624,-0.802128864182578,0.0182932894573904,0.0666569810601784,160.357,139.163,100.687,71.118
"Zfp930",83.453330578087,-0.802628632274755,0.041968855508621,0.126522512384595,89.342,122.533,68.837,53.101
"Pms2",161.13186661162,-0.802919022838032,0.00665219233685942,0.0297290427331675,195.865,213.558,134.591,100.513
"1700066J24Rik",12.3170162476763,-0.803031753865928,0.401170020484214,NA,13.745,17.505,12.329,5.689
"Purg",89.6851311326676,-0.803388702090934,0.0341138099284672,0.107428750859036,132.867,95.401,68.837,61.636
"Ankrd10",313.963693438023,-0.803598228957919,0.00104651391871854,0.00625655920611363,373.403,424.491,270.21,187.751
"Icos",181.024629789584,-0.803720168403541,0.00415837566109458,0.020092633156395,206.173,253.819,141.783,122.323
"Lrrc25",267.500882979714,-0.804173921775494,0.00081816186000588,0.00509962452787324,308.115,371.977,186.989,202.923
"Ttbk2",194.364061267924,-0.804308860138836,0.00277287643135259,0.0143519208699678,247.408,246.817,156.167,127.064
"Slc19a1",14.9166270388319,-0.804547634484303,0.386968575908305,NA,8.018,29.758,13.356,8.534
"Adra1b",1.38894602434645,-0.805966127667486,0.792111662749491,NA,0,3.501,2.055,0
