"Gene.name","baseMean","log2FoldChange","pvalue","padj"
"Plagl2",1136.97386999346,1.01124965780948,4.79696126763086e-09,8.40865395020148e-08
"Pprc1",646.477089250788,1.01074638244829,4.59008923038134e-08,7.03315935399166e-07
"Psmd11",499.008194226073,1.00553316170104,1.26028899034777e-07,1.81070432790947e-06
"Ptbp1",3041.22082809862,1.0052577580501,3.02384183188823e-12,7.63572926919468e-11
"Rest",1052.97157755983,1.00409035257433,5.13947421763494e-07,6.56555709901407e-06
"Cyfip1",1677.66360075803,1.00382761790872,3.32311767931957e-11,7.61085281608222e-10
"Gabarap",1401.62093149519,1.00157453524386,6.11427932143073e-11,1.35451917973536e-09
"Gpr146",354.734554268948,0.998856919946808,2.6730266599066e-06,3.01320476657318e-05
"Rab22a",309.843009540326,0.998351204095156,5.15350804580435e-05,0.000447200808902913
"Metap1",553.834992636181,0.996423873436917,3.59015442293976e-07,4.74873539239395e-06
"Ftl1",11414.2600543924,0.99564433540676,3.2170563928006e-14,9.54804709676955e-13
"Aldoa",877.602764207788,0.995196803916202,5.03424022962538e-09,8.78362819873548e-08
"Stk40",665.940563502212,0.994064555162077,1.21741533848239e-08,2.01655357213758e-07
"5033414D02Rik",419.128624095643,0.993663185276271,6.11161669974885e-07,7.7042774632125e-06
"Adprh",383.447931924918,0.992208721071237,6.68287079228309e-06,6.99759814776174e-05
"Hspa1a",585.880411886929,0.991752367303411,9.91334807845879e-07,1.20528955930352e-05
"Ppp1r11",450.035418384073,0.991494255911565,1.91849006756915e-06,2.23233113877299e-05
"Rufy3",601.96187344976,0.990374678423349,2.74152420872763e-06,3.08080204908158e-05
"Fem1b",572.288195168468,0.989948202506289,1.52528718942304e-07,2.17413633197628e-06
"Smndc1",785.996399593614,0.98894033400023,6.20905331955146e-07,7.81215732993043e-06
"Sumo1",872.088254055287,0.988865306332434,1.2108010355266e-08,2.00866885418984e-07
"Rab21",2147.62262323792,0.988742726188852,5.744450126428e-13,1.53653403011344e-11
"Gtf2b",498.17186015534,0.986181383824049,2.52068912388111e-07,3.43912157166298e-06
"Arf4",1837.81150032818,0.985783146803382,7.05108895326768e-07,8.76974128940858e-06
"Foxp1",2052.96569076304,0.985231237430104,2.66492966335757e-10,5.50938607693752e-09
"Psmb6",551.772713415831,0.983542101573387,1.90116778590333e-07,2.64381907890767e-06
"Hnrpll",678.239645976171,0.982262362196703,5.17437006948735e-06,5.52255674509916e-05
"Gaa",474.243206778179,0.980427877002774,5.23352271385032e-07,6.67782703876803e-06
"Lrrc33",8487.22590167586,0.978419267990557,1.3006015405501e-13,3.62195796626716e-12
"Ghitm",1896.56989227277,0.975971790138658,3.84689627504786e-08,5.97040506412514e-07
"Ak2",1340.40912835349,0.975769228131856,4.2288104917264e-10,8.57878353124946e-09
"Xbp1",1259.43267609574,0.974812657402245,5.65446251729165e-10,1.12188264560111e-08
"Stam2",673.984256494716,0.973526502042102,3.52353287964214e-08,5.50006220247309e-07
"Tor3a",376.771844528624,0.971194893130606,2.80946595189203e-06,3.15388027532087e-05
"Ubr5",3702.45457437643,0.97052659877045,1.9316097454232e-11,4.53907339960293e-10
"Eif2s1",832.68656517835,0.969955992093718,8.52600169684144e-09,1.44768301539002e-07
"Myst4",592.152434171725,0.969876714387699,2.79897434920483e-07,3.77130461752935e-06
"Chmp4b",474.870165382253,0.969240792171824,9.03071777570188e-07,1.10417342736093e-05
"Jak2",9964.273884385,0.968852415148986,7.90824859581937e-14,2.27845896379019e-12
"Hmgcs1",497.243449584403,0.966785167865654,6.89021470180774e-07,8.58937812021671e-06
"Baz1a",5978.76362304622,0.965269185530636,1.9348364796127e-10,4.07783727308257e-09
"Mki67",5805.95666941002,0.965086663083448,4.65949679701643e-10,9.36481053841911e-09
"Nsf",753.447301962113,0.964602064338399,1.07107033679095e-06,1.29208295751184e-05
"Hexim1",344.302428557745,0.964147749432038,3.10084613314059e-05,0.000281100135232736
"2310021P13Rik",1628.07071445154,0.960954494317791,9.31267681103146e-11,2.01768455787808e-09
"Ppp1r10",1622.89205100278,0.960660807680475,9.53433642201312e-10,1.82161316507351e-08
"Mdn1",1991.37875794677,0.96029332775419,6.23190919108815e-09,1.06651299000091e-07
"Fmnl1",4161.1388404996,0.960124295829275,1.18844748170261e-10,2.55445467644532e-09
"Atp5g3",487.014438341067,0.959825225109338,4.83574747949749e-06,5.18669826192043e-05
"Cdv3",1004.67304080429,0.958181667027483,5.98264166509247e-09,1.02872947869757e-07
"Rlim",2762.88274152845,0.95631718400918,3.90084067837668e-12,9.79809905408633e-11
"Hspa1b",287.772233670918,0.956258793125316,5.15603997341215e-05,0.000447200808902913
"Dhx34",291.68018567725,0.955456406865087,2.53152817799929e-05,0.000234594052628455
"Apaf1",1690.18460137932,0.955059359358539,1.22594081266071e-09,2.29768457154904e-08
"St13",579.949562533772,0.954255914914369,6.74378647946682e-07,8.43596292518061e-06
"Stk38l",573.867110412528,0.952944082021988,7.82026716651947e-06,8.01484902695415e-05
"Bcl10",795.44199381613,0.946580091217781,4.68908454153917e-07,6.06167694970093e-06
"Reep3",1867.39903363989,0.946306072785931,7.2495282766517e-11,1.58975991540421e-09
"Cyb5r3",2078.27084132245,0.945412636972362,3.45911357286516e-10,7.05698254893565e-09
"Hsp90b1",6280.31203333288,0.944951341861403,1.87050551434085e-08,3.00640745353924e-07
"Hat1",1001.62666862424,0.94472332446442,4.90512662943035e-09,8.58436781528578e-08
"Tfe3",601.147802647707,0.944200257792054,1.67096506221317e-07,2.35610038796637e-06
"Dyrk1a",1602.27888437846,0.94143758911384,8.8225357423118e-11,1.9191672629812e-09
"Napa",778.83724419516,0.940795969383839,1.98191427201192e-06,2.29136364020332e-05
"Lgals3",431.285292224851,0.939105535106489,3.57421644642198e-06,3.93891014894093e-05
"Midn",1880.09463869549,0.937538930727702,6.22540394778595e-10,1.22395283060554e-08
"Il10rb",621.528494630824,0.936997010167909,4.5668676140361e-07,5.91073797644601e-06
"Rad23b",1054.69795161888,0.935729619427708,1.85033704305553e-08,2.98284243860424e-07
"Canx",2933.46400008015,0.931459076785272,2.05696539326704e-11,4.82318313966707e-10
"Tbc1d8",4535.40386764318,0.930710482011848,1.15968658027861e-07,1.68177841019521e-06
"Lcp1",32437.0078320901,0.928667694759826,1.23702453349481e-13,3.47168051071226e-12
"Hif1a",1073.29994167237,0.925258944339342,4.15532557396297e-08,6.39973365664265e-07
"Jak3",438.042949981844,0.920827540531218,2.90457555020492e-06,3.25054410489358e-05
"Ddx6",5137.20492238084,0.920668222839271,1.46878969802429e-12,3.82485548045603e-11
"Glt25d1",1022.29148386101,0.920023572006754,4.66922614532972e-08,7.14431169948544e-07
"Syk",3210.27985211714,0.919018102156951,2.14380836267484e-09,3.90317243577421e-08
"Stap1",2049.49753373118,0.91623440034906,1.39345525377655e-08,2.28716678244869e-07
"Eif4e",708.707670962574,0.914061201136886,1.79026129487867e-07,2.50567191310344e-06
"Hax1",316.845783488389,0.910724172298956,5.03683239811034e-05,0.00043861740650104
"Dnajb11",1044.34570959485,0.909831803387849,8.11835889320742e-08,1.20639481330749e-06
"Rnh1",511.470567430294,0.909407723150587,2.53182630311732e-06,2.8719658996513e-05
"Pip4k2c",344.395384184384,0.909095134178866,2.164030809384e-05,0.000203762506303566
"Cd53",5970.07368962689,0.908032630535915,5.62598881456564e-12,1.39465301666338e-10
"Eif3a",5156.41980421484,0.906746073647337,1.59407114599578e-11,3.7952907086972e-10
"Lats2",787.332219262418,0.903801211187835,3.80116754210695e-07,4.99733592034521e-06
"Smad4",1420.23992407458,0.903025185353446,1.04898710149071e-07,1.53149289359149e-06
"Zfp715",305.594340661291,0.902785720293179,5.59908677484586e-05,0.000481388151046866
"Gripap1",618.030358034514,0.902487406280852,4.70349249430452e-06,5.0699437005772e-05
"St8sia4",1787.36557383622,0.901587364286035,6.88105340113062e-10,1.3431072341342e-08
"Elovl5",2082.04897153622,0.900891162300183,7.91758321877737e-10,1.53436813969616e-08
"Fbxw11",1082.73457313712,0.898092855072002,2.36458702931977e-08,3.75594886929928e-07
"Eps8",1328.56572492573,0.895984051101653,1.6309584613789e-07,2.31561900552e-06
"Atp2b1",1417.54172831444,0.890134870466257,3.45151133474171e-08,5.40321131347644e-07
